"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,273657,"Twin Creeks","WA","Seattle","Snohomish","Everett",1519,394600,0.0162245686325006,0.053671562082777,0.166420336979013,0.125179866947911,0.026393908920384,"2018-02","2018-Q1",394600,0,"2018-02"
2018-02-28,273631,"Elvira","AZ","Tucson","Pima","Tucson",1520,137700,0.00510948905109489,0.00437636761487965,0.143687707641196,0.134399413030594,0.00168582393178585,"2006-12","2006-Q4",152200,-0.09526938239159,"2006-04"
2018-02-28,275411,"South Arroyo","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Pasadena",1521,1222800,0.009660639088432,0.0196797865243496,0.0975675433085001,0.0860483945319603,0.0338685064578823,"2018-02","2018-Q1",1222800,0,"2018-02"
2018-02-28,343226,"Country Club","NY","New York","Bronx","New York",1522,530500,0.0125978240122161,0.0321011673151751,0.0351219512195122,0.0412122219151574,0.00879962447102334,"2006-12","2006-Q4",544300,-0.0253536652581297,"2006-09"
2018-02-28,268393,"Park West","CA","San Diego","San Diego","San Diego",1523,631500,0.0113709160794363,0.0401910723109867,0.0656429294633817,0.0633531631735691,0.0122332971594397,"2007-01","2007-Q1",651500,-0.0306983883346124,"2006-11"
2018-02-28,403513,"Berkeley","CO","Denver","Denver","Denver",1524,509300,0.0119213192926684,0.0339017458384084,0.057736240913811,0.11277117727809,0.0696708790892293,"2018-02","2018-Q1",509300,0,"2018-02"
2018-02-28,155852,"Upper Hill","MA","Springfield","Hampden","Springfield",1525,131800,0.00151975683890578,0.00918836140888208,0.119796091758709,0.0619232232659532,,"2018-02","2018-Q1",131800,0,"2018-02"
2018-02-28,109943,"Oak Forest","AR","Little Rock","Pulaski","Little Rock",1526,64500,0.0031104199066874,0,0.100682593856655,0.0308844530004144,0.0173631161335148,"2018-02","2018-Q1",64500,0,"2018-02"
2018-02-28,272138,"Jackson Park","WI","Milwaukee","Milwaukee","Milwaukee",1527,138400,0.00217233888486604,0.0116959064327485,0.0476911430734292,0.0357639090978727,-0.0125306061101881,"2006-04","2006-Q2",162800,-0.14987714987715,"2004-01"
2018-02-28,251437,"Newport Hills","WA","Seattle","King","Bellevue",1528,852200,0.000469593801361822,0.0100746710916202,0.144814615797958,0.137953621331546,0.051288472832133,"2018-02","2018-Q1",852200,0,"2018-02"
2018-02-28,417016,"Oak Park","CA","Santa Maria-Santa Barbara","Santa Barbara","Santa Barbara",1529,826800,0.0016961473225103,0.0076782449725777,-0.0042153438516199,0.077108416012363,0.00740458885504314,"2005-09","2005-Q3",914400,-0.0958005249343832,"2004-10"
2018-02-28,271156,"Brighton Heights","PA","Pittsburgh","Allegheny","Pittsburgh",1530,128300,0.00078003120124805,0.00785545954438335,0.0612076095947064,0.0843027977131461,0.0420313210963195,"2018-02","2018-Q1",128300,0,"2018-02"
2018-02-28,403310,"Noble Square","IL","Chicago","Cook","Chicago",1531,408000,0.00245700245700246,0.00122699386503067,-0.0087463556851312,0.0476371530418114,0.0100429626013512,"2017-05","2017-Q2",413200,-0.0125847047434656,"2017-01"
2018-02-28,202946,"Pleasant Ridge","OH","Cincinnati","Hamilton","Cincinnati",1532,176100,-0.00226628895184136,-0.00732807215332582,0.0770642201834862,0.0617683339653172,0.0203277218189293,"2017-12","2017-Q4",177900,-0.0101180438448567,"2017-11"
2018-02-28,274603,"Mount Pleasant","NJ","New York","Essex","Newark",1533,207900,0.0126643935703848,0.0505305709954522,0.125,0.0750215877248126,-0.0284984390044234,"2006-06","2006-Q2",287800,-0.277623349548297,"2004-08"
2018-02-28,193195,"Bay Wood","NY","New York","Suffolk"," Islip",1534,307700,-0.00581583198707593,-0.0106109324758842,0.0777583187390543,0.0503409098359309,-0.0121755033266419,"2007-04","2007-Q2",358500,-0.141701534170153,"2005-03"
2018-02-28,271572,"South Manchaca","TX","Austin","Travis","Austin",1535,310000,-0.00449582530507386,0.0150622134905043,0.105563480741797,0.110567922083385,0.0589054619168496,"2018-01","2018-Q1",311400,-0.00449582530507386,"2018-01"
2018-02-28,267990,"Adams Point","CA","San Francisco","Alameda","Oakland",1536,649000,0.00588964662120273,0.0499919106940624,0.0573476702508961,,,"2018-02","2018-Q1",649000,0,"2018-02"
2018-02-28,276352,"Central Hilltop","OH","Columbus","Franklin","Columbus",1537,64200,0.003125,0.0206677265500795,0.0936967632027257,0.0479348010471576,,"2018-02","2018-Q1",64200,0,"2018-02"
2018-02-28,273198,"Central City","CA","Los Angeles-Long Beach-Anaheim","Orange","Santa Ana",1538,513400,0.00469667318982387,0.0186507936507937,0.119494112516354,0.0930801136494486,-0.0018318174463855,"2006-11","2006-Q4",610100,-0.158498606785773,"2005-06"
2018-02-28,275915,"Walnut Valley","AR","Little Rock","Pulaski","Little Rock",1539,148100,0.00543109300746775,0.0178694158075601,0.0327754532775453,0.0127635248884899,0.00456920755835699,"2018-02","2018-Q1",148100,0,"2018-02"
2018-02-28,274604,"Mount Scott","OR","Portland","Multnomah","Portland",1540,351000,0.00573065902578797,0.00862068965517241,-0.00284090909090909,0.137266245196724,0.0485893638977948,"2017-02","2017-Q1",352000,-0.00284090909090909,"2017-01"
2018-02-28,623384,"Old Farm District","OR","Bend","Deschutes","Bend",1541,345300,-0.00115707260630605,0.00524017467248908,0.0650832819247378,0.12809832616992,0.0258580699586395,"2018-01","2018-Q1",345700,-0.00115707260630605,"2018-01"
2018-02-28,154455,"East Springfield","MA","Springfield","Hampden","Springfield",1542,138400,0.00217233888486604,0.000723065798987708,0.0737005430566331,0.0510489170841728,-0.000360555641859106,"2007-09","2007-Q3",140900,-0.0177430801987225,"2007-05"
2018-02-28,269330,"Grant Park","GA","Atlanta","Fulton","Atlanta",1543,400700,0.0113579000504796,0.0421326397919376,0.0806364617044229,0.108879330479701,0.0452521751606876,"2018-02","2018-Q1",400700,0,"2018-02"
2018-02-28,342744,"Expo Park","CO","Denver","Arapahoe","Aurora",1544,291700,0.0142559109874826,0.0458945858730728,0.120199692780338,0.145341356613866,0.0735906679180696,"2018-02","2018-Q1",291700,0,"2018-02"
2018-02-28,343999,"North College Park","WA","Seattle","King","Seattle",1545,652200,0.00524044389642417,0.0206572769953052,0.209345447802707,0.142733650561724,0.0588384436981064,"2018-02","2018-Q1",652200,0,"2018-02"
2018-02-28,269391,"North Buckhead","GA","Atlanta","Fulton","Atlanta",1546,529000,0.0120528027549263,0.0112789141655515,0.011085626911315,0.0776921595749964,0.026086222199132,"2018-02","2018-Q1",529000,0,"2018-02"
2018-02-28,274546,"Mineral Springs-Rumble Road","NC","Charlotte","Mecklenburg","Charlotte",1547,162900,0.010545905707196,0.0469151670951157,0.161911554921541,0.0868844130089057,0.0241638508356121,"2018-02","2018-Q1",162900,0,"2018-02"
